promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions
Price Destroyers,Radio,112.49,11.48,4.3624,4
Go For It,Product Attachment,119.3,6.88,2.752,2
Go For It,Product Attachment,119.3,1.92,0.864,3
Money Savers,Cash Register Handout,53.01,11.76,4.704,3
Saving Days,"Daily Paper, Radio",118.36,9.08,4.1768,4
Green Light Days,Cash Register Handout,139.19,8.61,3.444,3
Price Savers,In-Store Coupon,81.85,6.81,2.6559,3
Big Time Discounts,Product Attachment,109.93,2.91,1.2513,3
Big Time Discounts,Product Attachment,109.93,8.4,2.772,4
Free For All,Daily Paper,52.06,8.4,2.772,4
You Save Days,TV,108.22,8.28,3.9744,3
Go For It,"Daily Paper, Radio",67.01,8.61,3.7884,3
You Save Days,TV,108.22,8.28,3.8088,3
Sale Winners,Product Attachment,137.7,3.22,1.0304,2
Go For It,Product Attachment,119.3,4.83,1.7388,3
Price Slashers,Sunday Paper,67.2,6.87,2.4732,3
You Save Days,TV,108.22,1.56,0.5616,2
Money Savers,Cash Register Handout,53.01,9.16,4.3968,4
Green Light Days,Cash Register Handout,139.19,9.08,4.086,4
Weekend Markdown,Daily Paper,140.57,9.16,3.9388,4
Big Time Discounts,Product Attachment,109.93,7.28,2.6208,4
Weekend Markdown,Daily Paper,140.57,6.87,3.2289,3
Unbeatable Price Savers,Product Attachment,124.36,6.87,3.3663,3
Price Destroyers,Sunday Paper,121.44,5.46,2.2932,3
Super Wallet Savers,Cash Register Handout,140.19,11.04,5.1888,4
One Day Sale,Cash Register Handout,138.96,3.92,1.4504,1
Coupon Spectacular,Daily Paper,90.58,7.52,2.4064,2
Double Down Sale,Product Attachment,129.64,4.74,1.8012,2
Two Day Sale,"Daily Paper, Radio, TV",132.9,3.76,1.4288,1
Dollar Cutters,Daily Paper,110.52,0.64,0.2176,1
Shelf Clearing Days,Sunday Paper,106.1,6.44,2.8336,4
Shelf Clearing Days,Sunday Paper,106.1,11.28,3.948,3
Shelf Clearing Days,Sunday Paper,106.1,9.08,4.3584,4
Super Duper Savers,Cash Register Handout,129.5,15.68,7.5264,4
Money Savers,"Sunday Paper, Radio, TV",82.61,6.81,3.2007,3
Sales Days,Daily Paper,62.71,7.84,2.744,2
Sales Days,Daily Paper,62.71,3.88,1.164,4
Green Light Special,In-Store Coupon,123.02,8.28,3.8088,3
Coupon Spectacular,TV,51.47,8.4,2.94,4
Shelf Clearing Days,Sunday Paper,106.1,1.94,0.7178,2
Sales Days,Daily Paper,62.71,1.92,0.6528,3
Green Light Special,In-Store Coupon,123.02,11.48,5.166,4
Green Light Special,In-Store Coupon,123.02,11.28,5.3016,3
Coupon Spectacular,TV,51.47,8.4,2.604,4
Price Destroyers,"Sunday Paper, Radio",115.05,4.83,1.5939,3
Coupon Spectacular,TV,51.47,3.22,1.1914,2
Super Duper Savers,Cash Register Handout,129.5,8.28,3.6432,3
Save-It Sale,"Daily Paper, Radio",64.84,8.61,3.5301,3
Money Savers,"Sunday Paper, Radio, TV",82.61,6.44,2.3828,4
Shelf Clearing Days,In-Store Coupon,109.21,5.74,2.583,2
Go For It,Radio,105.74,11.28,4.1736,3
Shelf Clearing Days,Sunday Paper,106.1,1.56,0.5148,2
Price Cutters,Cash Register Handout,145.52,1.28,0.4224,2
Go For It,Radio,105.74,8.4,3.948,4
Super Wallet Savers,"Daily Paper, Radio",109.14,4.58,2.0152,2
Super Duper Savers,Cash Register Handout,129.5,15.68,7.3696,4
Three for One,Sunday Paper,118.25,2.56,1.2032,4
Go For It,Radio,105.74,10.32,4.2312,3
Super Wallet Savers,"Daily Paper, Radio",109.14,5.74,1.8942,2
Sales Days,Daily Paper,62.71,15.68,4.8608,4
Super Wallet Savers,"Daily Paper, Radio",109.14,8.28,3.9744,3
Coupon Spectacular,TV,51.47,4.83,1.6422,3
Dollar Cutters,TV,66.18,1.92,0.672,3
Three for One,Sunday Paper,118.25,8.61,3.6162,3
Weekend Markdown,"Sunday Paper, Radio, TV",67.51,6.88,2.408,2
Dimes Off,In-Store Coupon,101.65,3.76,1.8048,1
Price Cutters,Sunday Paper,69.42,5.74,2.6978,2
Dimes Off,Bulk Mail,84.97,4.74,1.9434,2
You Save Days,In-Store Coupon,95.25,4.2,1.26,2
Price Smashers,TV,145.24,5.52,1.8216,2
Savings Galore,Bulk Mail,76.05,2.37,0.711,1
Double Down Sale,Radio,50.79,4.8,2.016,3
Save-It Sale,Radio,144.38,2.44,0.9028,4
One Day Sale,"Daily Paper, Radio, TV",131.75,4.8,2.352,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,7.77,3.5742,3
Big Time Discounts,"Daily Paper, Radio",111.51,9.64,4.2416,4
Free For All,Product Attachment,143.83,10.36,4.0404,4
Bag Stuffers,"Daily Paper, Radio",126.62,6.39,2.0448,3
I Cant Believe It Sale,Product Attachment,69.47,1.83,0.6588,3
Big Time Discounts,"Daily Paper, Radio",111.51,5.4,2.106,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,5.92,2.664,2
I Cant Believe It Sale,Product Attachment,69.47,8.56,4.0232,4
Cash Register Lottery,"Daily Paper, Radio",59.86,5.4,1.782,3
I Cant Believe It Sale,Product Attachment,69.47,2.34,0.7254,3
One Day Sale,"Daily Paper, Radio, TV",131.75,5.4,1.62,3
Cash Register Lottery,"Daily Paper, Radio",59.86,8.55,3.8475,3
One Day Sale,"Daily Paper, Radio, TV",131.75,6.39,1.917,3
Bag Stuffers,"Daily Paper, Radio",126.62,8.64,3.1968,4
Bag Stuffers,Product Attachment,82.62,8.88,3.996,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,5.7,2.394,2
Cash Register Lottery,"Daily Paper, Radio",59.86,5.68,2.4992,4
High Roller Savings,"Daily Paper, Radio",84.16,4.82,2.169,2
I Cant Believe It Sale,Product Attachment,69.47,7.26,2.8314,3
One Day Sale,"Daily Paper, Radio, TV",131.75,7.23,2.2413,3
Cash Register Lottery,"Sunday Paper, Radio",123.61,6.48,2.3976,3
I Cant Believe It Sale,Product Attachment,69.47,3.2,1.12,2
Big Time Discounts,"Daily Paper, Radio",111.51,4.8,1.968,3
I Cant Believe It Sale,Product Attachment,69.47,8.55,3.3345,3
Cash Register Lottery,In-Store Coupon,95.78,6.39,3.1311,3
High Roller Savings,"Daily Paper, Radio",84.16,2.6,1.274,4
Double Down Sale,Radio,50.79,4.32,1.3392,2
Tip Top Savings,"Daily Paper, Radio, TV",54.9,7.26,3.0492,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,3.2,0.96,2
Price Slashers,"Sunday Paper, Radio, TV",54.11,4.28,2.0116,2
I Cant Believe It Sale,Product Attachment,69.47,4.8,1.872,3
Price Savers,"Sunday Paper, Radio",80.29,4.8,2.4,3
Bag Stuffers,Product Attachment,82.62,2.34,1.0062,3
I Cant Believe It Sale,Product Attachment,69.47,6.4,2.688,4
Cash Register Lottery,"Daily Paper, Radio",59.86,3.12,1.3728,4
Bag Stuffers,"Daily Paper, Radio",126.62,1.83,0.8235,3
Big Time Savings,Radio,53.45,3.6,1.152,2
One Day Sale,"Daily Paper, Radio, TV",131.75,2.49,1.1703,3
I Cant Believe It Sale,Product Attachment,69.47,2.1,0.861,3
Bag Stuffers,Product Attachment,82.62,7.76,2.4056,4
Price Savers,"Sunday Paper, Radio",80.29,14.8,7.104,5
High Roller Savings,"Daily Paper, Radio",84.16,8.88,4.44,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,1.66,0.7968,2
Cash Register Lottery,"Sunday Paper, Radio",123.61,6.52,2.0864,2
I Cant Believe It Sale,Product Attachment,69.47,11.4,4.902,4
I Cant Believe It Sale,Product Attachment,69.47,2.34,1.0062,3
Save-It Sale,Radio,144.38,4.8,2.112,3
Bag Stuffers,"Daily Paper, Radio",126.62,6.4,2.688,4
Save-It Sale,Radio,144.38,2.84,1.3348,2
High Roller Savings,"Daily Paper, Radio",84.16,3.2,1.28,2
Cash Register Lottery,"Sunday Paper, Radio",123.61,9.64,3.4704,4
One Day Sale,"Daily Paper, Radio, TV",131.75,2.44,1.0492,4
Big Time Savings,Radio,53.45,5.4,2.538,3
Green Light Days,Daily Paper,66.27,3.12,1.56,4
Cash Register Lottery,In-Store Coupon,95.78,8.4,4.116,3
Green Light Days,Daily Paper,66.27,7.23,3.1812,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,13.04,6.3896,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,8.55,4.0185,3
Cash Register Lottery,"Daily Paper, Radio",59.86,9.78,3.2274,3
Free For All,Product Attachment,143.83,6.52,2.5428,2
Free For All,Product Attachment,143.83,1.83,0.8235,3
Bag Stuffers,Product Attachment,82.62,3.5,1.225,5
Bag Stuffers,Product Attachment,82.62,10.36,3.9368,4
Big Time Discounts,"Daily Paper, Radio",111.51,8.52,2.6412,4
Free For All,Product Attachment,143.83,2.6,0.884,4
I Cant Believe It Sale,Product Attachment,69.47,1.4,0.602,2
Bag Stuffers,"Daily Paper, Radio",126.62,1.22,0.4514,2
Cash Register Lottery,"Daily Paper, Radio",59.86,11.84,4.4992,4
Double Down Sale,TV,95.74,8.56,2.9104,4
Tip Top Savings,Street Handout,142.58,3.6,1.296,2
Super Duper Savers,Sunday Paper,69.65,8.56,2.8248,4
Weekend Markdown,In-Store Coupon,73.05,5.7,2.223,2
Saving Days,Street Handout,67.31,9.0,3.6,5
Super Duper Savers,Sunday Paper,69.65,11.4,5.586,4
Super Duper Savers,Sunday Paper,69.65,2.8,1.344,4
Free For All,Street Handout,55.18,8.52,3.5784,4
Big Promo,Sunday Paper,51.12,8.88,3.8184,3
Price Winners,In-Store Coupon,94.63,8.4,3.108,3
Price Winners,In-Store Coupon,94.63,11.4,3.648,4
Two for One,Product Attachment,59.83,12.05,5.302,5
Saving Days,Street Handout,67.31,1.95,0.624,3
Price Savers,"Sunday Paper, Radio",111.7,2.44,0.8296,4
Dollar Cutters,"Sunday Paper, Radio",136.74,9.64,4.2416,4
Tip Top Savings,Street Handout,142.58,9.68,3.388,4
Free For All,In-Store Coupon,109.06,9.78,4.0098,3
Big Promo,Sunday Paper,51.12,7.23,3.0366,3
Super Duper Savers,Sunday Paper,69.65,3.12,1.1232,4
Two Day Sale,Daily Paper,103.65,4.28,1.8404,2
Sales Galore,Product Attachment,149.08,1.56,0.5616,2
Bag Stuffers,Daily Paper,70.32,2.34,1.0998,3
Price Savers,"Sunday Paper, Radio",111.7,6.39,2.0448,3
Weekend Markdown,In-Store Coupon,73.05,3.32,1.0292,4
Big Promo,Sunday Paper,51.12,5.4,2.538,3
Tip Top Savings,Street Handout,142.58,7.26,2.2506,3
Three for One,Product Attachment,122.47,2.34,0.819,3
Price Savers,"Sunday Paper, Radio",111.7,2.8,1.232,4
Free For All,Street Handout,55.18,1.56,0.6084,2
Bag Stuffers,Daily Paper,70.32,5.7,1.824,2
Sales Galore,Product Attachment,149.08,8.52,2.7264,4
Super Duper Savers,Daily Paper,91.0,1.56,0.6396,2
Free For All,Street Handout,55.18,1.95,0.78,3
Big Promo,Sunday Paper,51.12,6.52,3.1296,2
Super Savers,Cash Register Handout,71.51,1.56,0.546,2
Price Savers,"Sunday Paper, Radio",111.7,7.23,3.1089,3
Dollar Days,"Daily Paper, Radio",138.81,7.23,2.5305,3
Double Down Sale,TV,95.74,8.0,2.48,5
Saving Days,Street Handout,67.31,1.83,0.549,3
Double Down Sale,TV,95.74,5.82,1.9788,3
Double Down Sale,TV,95.74,4.8,1.44,3
Tip Top Savings,Street Handout,142.58,8.64,3.6288,4
Price Savers,"Sunday Paper, Radio",111.7,5.4,1.944,3
Double Down Sale,TV,95.74,2.1,0.903,3
Big Promo,Sunday Paper,51.12,2.1,0.798,3
Two for One,Product Attachment,59.83,6.48,2.7864,3
Dollar Cutters,"Sunday Paper, Radio",136.74,5.92,2.6048,2
Weekend Markdown,In-Store Coupon,73.05,9.78,4.401,3
Price Savers,"Sunday Paper, Radio",111.7,8.88,4.1736,3
Free For All,Street Handout,55.18,1.95,0.8385,3
Two Day Sale,Daily Paper,103.65,7.23,2.3859,3
Bag Stuffers,Daily Paper,70.32,5.92,2.7824,2
Double Down Sale,TV,95.74,14.25,4.845,5
Double Down Sale,TV,95.74,8.88,3.2856,3
Saving Days,Street Handout,67.31,6.52,2.7384,2
Price Winners,In-Store Coupon,94.63,3.32,1.162,4
Saving Days,Street Handout,67.31,11.2,3.584,4
Two Day Sale,Daily Paper,103.65,2.8,1.008,4
Two Day Sale,Daily Paper,103.65,11.84,4.8544,4
Super Duper Savers,Sunday Paper,69.65,2.6,0.78,4
Price Winners,In-Store Coupon,94.63,6.52,2.7384,2
Price Savers,"Sunday Paper, Radio",111.7,6.52,2.7384,2
Super Duper Savers,Daily Paper,91.0,7.76,3.8024,4
Save-It Sale,Sunday Paper,139.37,2.84,0.9656,2
Double Down Sale,TV,95.74,4.26,1.3632,3
Super Duper Savers,Sunday Paper,69.65,6.42,2.1186,3
Double Down Sale,TV,95.74,6.4,2.112,4
Two for One,Product Attachment,59.83,6.4,2.688,4
Super Duper Savers,Daily Paper,91.0,3.32,1.162,4
Free For All,Street Handout,55.18,2.1,0.651,3
Double Down Sale,TV,95.74,1.95,0.9555,3
Two for One,Product Attachment,59.83,4.8,2.208,3
Sales Galore,Product Attachment,149.08,3.2,1.376,2
Save-It Sale,Sunday Paper,139.37,3.2,1.376,2
Dollar Days,"Daily Paper, Radio",138.81,10.36,4.5584,4
Double Down Sale,TV,95.74,2.34,0.936,3
Two for One,Product Attachment,59.83,2.34,1.1232,3
Tip Top Savings,Street Handout,142.58,2.49,0.8964,3
Dollar Days,"Daily Paper, Radio",138.81,8.64,3.8016,4
Dollar Days,"Daily Paper, Radio",138.81,7.77,3.0303,3
Super Duper Savers,Sunday Paper,69.65,8.55,4.275,3
Price Savers,Street Handout,115.13,12.1,3.63,5
Unbeatable Price Savers,Bulk Mail,66.78,8.52,3.9192,4
Weekend Markdown,"Daily Paper, Radio",69.63,5.7,2.109,2
Big Time Savings,In-Store Coupon,135.8,11.84,3.9072,4
Dimes Off,"Daily Paper, Radio",131.58,8.52,4.1748,4
Big Time Savings,In-Store Coupon,135.8,2.8,0.924,4
Bye Bye Baby,Radio,90.58,2.34,0.9594,3
Unbeatable Price Savers,"Daily Paper, Radio, TV",137.77,1.56,0.468,2
Weekend Markdown,"Daily Paper, Radio",69.63,2.34,0.8892,3
Dollar Cutters,Street Handout,131.46,8.4,3.108,3
Sales Galore,"Daily Paper, Radio, TV",145.41,4.8,1.632,3
Weekend Markdown,"Daily Paper, Radio",69.63,3.2,1.504,2
Two Day Sale,Radio,91.28,9.68,4.2592,4
Price Smashers,Product Attachment,138.23,5.4,2.592,3
Price Smashers,Product Attachment,138.23,2.8,1.064,4
Weekend Markdown,"Daily Paper, Radio",69.63,4.26,2.0448,2
Unbeatable Price Savers,Bulk Mail,66.78,6.39,2.8755,3
Savings Galore,Street Handout,138.53,14.25,4.275,5
Unbeatable Price Savers,Bulk Mail,66.78,8.55,3.249,3
Unbeatable Price Savers,Bulk Mail,66.78,13.04,6.52,4
Super Duper Savers,"Sunday Paper, Radio",80.0,1.95,0.6825,3
Price Smashers,Product Attachment,138.23,6.42,3.0174,3
Weekend Markdown,"Daily Paper, Radio",69.63,9.78,3.7164,3
Weekend Markdown,"Daily Paper, Radio",69.63,13.04,6.2592,4
Sales Galore,Bulk Mail,142.45,1.95,0.819,3
Pick Your Savings,In-Store Coupon,83.51,5.7,1.71,2
Best Savings,Street Handout,114.01,2.6,0.962,4
Unbeatable Price Savers,Bulk Mail,66.78,2.1,0.735,3
Unbeatable Price Savers,Bulk Mail,66.78,8.55,2.9925,3
Two Day Sale,Radio,91.28,2.34,0.936,3
Savings Galore,Street Handout,138.53,7.2,2.88,4
Big Time Savings,In-Store Coupon,135.8,6.39,2.556,3
Unbeatable Price Savers,Bulk Mail,66.78,4.26,1.8318,2
Dollar Cutters,"Daily Paper, Radio, TV",144.18,2.1,0.84,3
Savings Galore,Street Handout,138.53,2.1,0.819,3
Sales Galore,"Daily Paper, Radio, TV",145.41,7.26,3.0492,3
Weekend Markdown,"Daily Paper, Radio",69.63,8.88,3.4632,3
Shelf Clearing Days,Radio,99.77,2.8,1.008,4
Big Time Savings,In-Store Coupon,135.8,3.2,1.344,2
Weekend Markdown,"Daily Paper, Radio",69.63,2.44,1.0248,4
Savings Galore,Street Handout,138.53,1.4,0.63,2
Dollar Cutters,Street Handout,131.46,1.83,0.5673,3
Big Time Savings,In-Store Coupon,135.8,3.12,1.3728,4
Big Time Savings,In-Store Coupon,135.8,8.64,2.7648,4
Sales Galore,Bulk Mail,142.45,2.49,1.1454,3
Big Time Savings,In-Store Coupon,135.8,7.76,2.4832,4
Savings Galore,Street Handout,138.53,4.82,2.0726,2
Double Down Sale,Street Handout,59.19,2.6,1.014,4
Unbeatable Price Savers,"Daily Paper, Radio, TV",137.77,11.84,4.8544,4
Weekend Markdown,"Daily Paper, Radio",69.63,10.7,4.494,5
Price Slashers,Radio,76.98,6.48,2.7216,3
Best Savings,Street Handout,114.01,8.88,3.9072,3
Sales Galore,Bulk Mail,142.45,3.32,1.5604,4
Two Day Sale,Radio,91.28,1.4,0.602,2
Green Light Days,Street Handout,133.42,4.26,1.3632,3
Super Savers,"Sunday Paper, Radio",64.99,11.2,4.032,4
Double Down Sale,"Daily Paper, Radio",62.67,2.8,1.288,4
Sales Days,Bulk Mail,116.74,5.7,1.881,2
Go For It,"Daily Paper, Radio, TV",100.55,2.1,0.966,3
Go For It,"Daily Paper, Radio, TV",100.55,5.82,1.746,3
Super Savers,"Sunday Paper, Radio",64.99,5.18,2.1756,2
Go For It,Street Handout,97.45,5.4,2.484,3
Tip Top Savings,Bulk Mail,106.66,2.49,0.8466,3
Super Duper Savers,Daily Paper,100.91,4.82,2.169,2
Big Time Discounts,In-Store Coupon,59.4,2.49,1.0458,3
Super Duper Savers,Daily Paper,100.91,2.49,0.996,3
Tip Top Savings,Bulk Mail,106.66,2.6,0.78,4
Green Light Days,Street Handout,133.42,11.4,4.332,4
Sales Days,Bulk Mail,116.74,8.88,2.7528,3
Two for One,"Daily Paper, Radio, TV",57.52,3.88,1.7848,2
One Day Sale,In-Store Coupon,93.07,4.84,2.1296,2
Sales Days,Bulk Mail,116.74,2.6,1.014,4
Double Down Sale,"Daily Paper, Radio",62.67,1.3,0.546,2
Sales Days,Bulk Mail,116.74,13.04,5.9984,4
Two for One,"Daily Paper, Radio, TV",57.52,3.2,1.376,2
Double Down Sale,"Daily Paper, Radio",62.67,6.48,2.8512,3
Green Light Days,Street Handout,133.42,2.49,1.0458,3
Two for One,"Daily Paper, Radio, TV",57.52,4.8,2.064,3
Big Time Discounts,In-Store Coupon,59.4,2.6,0.91,4
Wallet Savers,"Sunday Paper, Radio, TV",79.95,2.44,1.0736,4
Big Promo,Radio,98.52,7.26,2.904,3
Two for One,"Daily Paper, Radio, TV",57.52,3.12,1.1856,4
Save-It Sale,"Daily Paper, Radio, TV",89.37,2.6,1.274,4
Savings Galore,"Sunday Paper, Radio",136.57,1.4,0.518,2
Sales Days,Bulk Mail,116.74,7.23,3.3981,3
Super Duper Savers,Daily Paper,100.91,1.56,0.546,2
Double Down Sale,"Daily Paper, Radio",62.67,7.2,3.384,4
Green Light Days,Street Handout,133.42,3.12,1.56,4
Wallet Savers,"Sunday Paper, Radio, TV",79.95,3.12,1.1232,4
Super Duper Savers,Daily Paper,100.91,6.52,2.4124,2
Savings Galore,"Sunday Paper, Radio",136.57,3.6,1.476,2
Sales Days,Bulk Mail,116.74,8.64,4.32,4
Super Savers,"Sunday Paper, Radio",64.99,2.1,1.05,3
Super Savers,"Sunday Paper, Radio",64.99,3.2,1.056,2
Big Time Discounts,In-Store Coupon,59.4,5.7,2.223,2
Double Down Sale,"Daily Paper, Radio",62.67,6.39,2.2365,3
Sales Days,Bulk Mail,116.74,5.82,1.8624,3
Go For It,"Daily Paper, Radio, TV",100.55,8.52,3.2376,4
Savings Galore,"Sunday Paper, Radio",136.57,1.3,0.403,2
Two for One,"Daily Paper, Radio, TV",57.52,4.32,2.1168,2
Price Destroyers,"Daily Paper, Radio",62.26,1.66,0.6474,2
Sales Days,Bulk Mail,116.74,2.34,0.7956,3
Super Duper Savers,Daily Paper,100.91,13.04,6.1288,4
Sales Days,Bulk Mail,116.74,6.42,3.1458,3
Price Winners,"Daily Paper, Radio",114.6,13.04,5.6072,4
Super Savers,"Sunday Paper, Radio",64.76,6.39,3.0672,3
Weekend Markdown,Street Handout,53.37,7.76,3.492,4
Best Savings,"Daily Paper, Radio, TV",53.82,8.64,3.024,4
High Roller Savings,Daily Paper,101.84,2.1,0.735,3
Super Savers,"Sunday Paper, Radio",64.76,7.23,3.1812,3
Super Savers,"Sunday Paper, Radio",64.76,8.52,2.556,4
Price Winners,"Sunday Paper, Radio",122.51,1.22,0.5124,2
Price Winners,"Sunday Paper, Radio",122.51,3.2,1.12,2
Dollar Cutters,Bulk Mail,141.26,5.82,1.746,3
Two for One,Daily Paper,68.97,5.92,2.8416,2
Two for One,Daily Paper,68.97,6.4,1.984,4
You Save Days,Bulk Mail,131.81,1.4,0.434,2
Big Time Discounts,"Daily Paper, Radio, TV",146.41,4.26,2.0448,2
Price Destroyers,TV,135.92,3.32,1.5936,4
High Roller Savings,Daily Paper,101.84,2.49,1.2201,3
Sale Winners,In-Store Coupon,147.35,8.88,3.996,3
Dollar Days,Sunday Paper,143.04,11.4,3.99,4
You Save Days,Bulk Mail,131.81,1.3,0.39,2
Double Down Sale,Daily Paper,55.96,7.23,2.6028,3
Dollar Cutters,Bulk Mail,141.26,2.34,0.9126,3
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,7.2,3.096,4
Save-It Sale,Daily Paper,81.79,7.26,3.267,3
Save-It Sale,Daily Paper,81.79,1.4,0.588,2
Savings Galore,"Sunday Paper, Radio, TV",61.65,1.95,0.9165,3
You Save Days,Bulk Mail,131.81,3.2,1.12,2
Save-It Sale,Daily Paper,81.79,6.42,2.1828,3
High Roller Savings,Daily Paper,101.84,6.39,2.9394,3
Save-It Sale,Daily Paper,81.79,6.39,2.9394,3
High Roller Savings,Daily Paper,101.84,8.88,3.996,3
Price Winners,"Sunday Paper, Radio",122.51,9.78,4.3032,3
High Roller Savings,Daily Paper,101.84,8.55,2.907,3
Big Time Discounts,"Daily Paper, Radio, TV",146.41,11.4,5.13,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,5.4,2.106,3
Sale Winners,In-Store Coupon,147.35,6.4,1.984,4
High Roller Savings,Daily Paper,101.84,3.6,1.44,2
High Roller Savings,Daily Paper,101.84,10.36,3.5224,4
You Save Days,Bulk Mail,131.81,7.2,2.592,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,2.1,1.05,3
Double Down Sale,Daily Paper,55.96,2.44,1.0492,4
Price Winners,"Sunday Paper, Radio",122.51,1.83,0.6954,3
Save-It Sale,Daily Paper,81.79,6.42,3.21,3
High Roller Savings,Daily Paper,101.84,13.04,5.0856,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,6.48,2.9808,3
Two for One,Daily Paper,68.97,2.34,0.8424,3
Super Savers,"Sunday Paper, Radio",64.76,7.26,2.3232,3
Saving Days,"Sunday Paper, Radio, TV",67.11,3.12,1.0608,4
Shelf Clearing Days,"Sunday Paper, Radio, TV",101.96,13.04,5.0856,4
Double Down Sale,Daily Paper,55.96,8.56,2.6536,4
Price Cutters,Product Attachment,129.2,8.88,3.4632,3
One Day Sale,"Daily Paper, Radio, TV",85.88,5.7,2.679,2
Pick Your Savings,Sunday Paper,67.25,3.12,1.1232,4
High Roller Savings,"Sunday Paper, Radio, TV",95.55,6.52,3.1296,2
Shelf Clearing Days,"Sunday Paper, Radio, TV",101.96,10.36,3.7296,4
Two Day Sale,Sunday Paper,126.88,2.49,0.9213,3
Sales Galore,Bulk Mail,96.55,14.8,6.808,5
High Roller Savings,Daily Paper,101.84,6.42,2.7606,3
Shelf Clearing Days,"Sunday Paper, Radio, TV",101.96,9.68,3.7752,4
High Roller Savings,"Sunday Paper, Radio, TV",95.55,2.49,1.0707,3
High Roller Savings,Daily Paper,101.84,6.39,2.7477,3
High Roller Savings,"Sunday Paper, Radio, TV",95.55,9.7,4.268,5
High Roller Savings,Daily Paper,101.84,3.2,1.344,2
Best Savings,"Daily Paper, Radio, TV",53.82,7.23,2.8197,3
Big Time Savings,Daily Paper,77.32,6.48,2.916,3
Two Day Sale,"Daily Paper, Radio",112.52,11.2,5.04,4
Pick Your Savings,Sunday Paper,67.25,5.6,2.128,2
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,6.52,2.9992,2
Sales Galore,TV,106.16,11.2,4.48,4
One Day Sale,"Daily Paper, Radio, TV",85.88,5.68,2.4992,4
Fantastic Discounts,Radio,137.46,2.49,1.1703,3
You Save Days,Bulk Mail,131.81,8.64,3.888,4
You Save Days,Bulk Mail,131.81,5.68,2.4992,4
Mystery Sale,"Daily Paper, Radio",68.84,7.2,3.456,4
One Day Sale,"Daily Paper, Radio, TV",85.88,8.55,2.9925,3
Price Savers,Cash Register Handout,128.2,7.77,3.4965,3
Price Cutters,Product Attachment,129.2,6.39,3.1311,3
One Day Sale,"Daily Paper, Radio, TV",85.88,8.52,4.0896,4
Sales Galore,Bulk Mail,96.55,5.92,2.5456,2
Two Day Sale,"Daily Paper, Radio",149.75,2.49,1.1952,3
One Day Sale,"Daily Paper, Radio, TV",85.88,8.56,3.1672,4
Two Day Sale,"Daily Paper, Radio",112.52,8.88,2.9304,3
Two Day Sale,"Daily Paper, Radio",149.75,5.68,2.3856,4
Best Savings,"Daily Paper, Radio, TV",53.82,5.7,2.622,2
Two Day Sale,"Daily Paper, Radio",149.75,5.4,1.782,3
Two Day Sale,"Daily Paper, Radio",149.75,4.8,1.536,3
Mystery Sale,"Daily Paper, Radio",68.84,5.68,1.7608,4
One Day Sale,"Daily Paper, Radio, TV",85.88,5.82,2.91,3
Big Promo,"Sunday Paper, Radio, TV",117.04,5.82,2.3862,3
One Day Sale,"Daily Paper, Radio, TV",85.88,14.0,6.86,5
One Day Sale,"Daily Paper, Radio, TV",85.88,2.44,1.1224,4
Two for One,Daily Paper,68.97,9.64,4.5308,4
You Save Days,Bulk Mail,131.81,7.77,3.8073,3
Double Down Sale,Daily Paper,55.96,10.36,3.7296,4
You Save Days,Bulk Mail,131.81,1.4,0.63,2
One Day Sale,"Daily Paper, Radio, TV",85.88,13.04,5.9984,4
You Save Days,Bulk Mail,131.81,3.32,1.494,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,9.7,3.007,5
One Day Sale,"Daily Paper, Radio, TV",85.88,11.4,5.472,4
Sales Galore,Bulk Mail,96.55,4.8,2.112,3
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,8.55,2.736,3
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,11.4,4.788,4
Two Day Sale,"Daily Paper, Radio",149.75,3.32,1.5272,4
Save-It Sale,Daily Paper,81.79,2.34,0.9828,3
Price Savers,Product Attachment,62.27,9.64,3.6632,4
Big Time Discounts,In-Store Coupon,145.6,4.8,2.352,3
Weekend Markdown,Daily Paper,140.57,16.3,7.009,5
Weekend Markdown,Street Handout,117.4,13.04,6.1288,4
Saving Days,"Daily Paper, Radio",118.36,4.8,1.968,3
Wallet Savers,"Daily Paper, Radio, TV",53.13,5.82,2.1534,3
Weekend Markdown,Street Handout,117.4,3.88,1.6684,2
Wallet Savers,"Daily Paper, Radio, TV",53.13,5.6,2.072,2
Wallet Savers,"Daily Paper, Radio, TV",53.13,8.55,3.42,3
Unbeatable Price Savers,Product Attachment,124.36,3.25,0.975,5
